syllable,latin,count,first_file
स्मा,smā,45197,s0101m.mul.xml
भू,bhū,44809,s0101m.mul.xml
क्खा,kkhā,43718,s0101m.mul.xml
हं,haṃ,43351,s0101m.mul.xml
त्थो,ttho,43235,s0101m.mul.xml
म्मं,mmaṃ,41914,s0101m.mul.xml
स्मिं,smiṃ,40296,s0101m.mul.xml
हु,hu,39636,s0101m.mul.xml
ओ,o,39421,s0101m.mul.xml
च्छा,cchā,39336,s0101m.mul.xml
ठ,ṭha,38637,s0101m.mul.xml
न्ता,ntā,38615,s0101m.mul.xml
लि,li,38444,s0101m.mul.xml
तुं,tuṃ,38418,s0101m.mul.xml
ङ्ग,ṅga,37991,s0101m.mul.xml
णि,ṇi,37332,s0101m.mul.xml
च्छि,cchi,36298,s0101m.mul.xml
क्खि,kkhi,35597,s0101m.mul.xml
वी,vī,35174,s0101m.mul.xml
फ,pha,34925,s0101m.mul.xml
दो,do,34898,s0101m.mul.xml
गो,go,34139,s0101m.mul.xml
थे,the,33308,s0101m.mul.xml
ब्बे,bbe,32832,s0101m.mul.xml
न्द,nda,32802,s0101m.mul.xml
बु,bu,32798,s0101m.mul.xml
यि,yi,32586,s0101m.mul.xml
त्थे,tthe,31569,s0101m.mul.xml
छ,cha,31318,s0101m.mul.xml
ङ्खा,ṅkhā,30412,s0101m.mul.xml
भो,bho,30405,s0101m.mul.xml
द्धा,ddhā,30165,s0101m.mul.xml
न्द्रि,ndri,29861,s0101m.mul.xml
जे,je,29605,s0101m.mul.xml
प्पा,ppā,29598,s0101m.mul.xml
ब्बो,bbo,29082,s0101m.mul.xml
त्थं,tthaṃ,28713,s0101m.mul.xml
ल्,l,28174,s0101m.mul.xml
ही,hī,28013,s0101m.mul.xml
म्मो,mmo,27463,s0101m.mul.xml
मी,mī,27329,s0101m.mul.xml
पो,po,27232,s0101m.mul.xml
ह्म,hma,26986,s0101m.mul.xml
न्ती,ntī,26718,s0101m.mul.xml
ज्झ,jjha,26597,s0101m.mul.xml
म्मे,mme,26355,s0101m.mul.xml
न्तं,ntaṃ,26197,s0101m.mul.xml
न्धा,ndhā,25904,s0101m.mul.xml
त्थु,tthu,25226,s0101m.mul.xml
पं,paṃ,24914,s0101m.mul.xml
पी,pī,24353,s0101m.mul.xml
न्ध,ndha,24236,s0101m.mul.xml
ट,ṭa,23572,s0101m.mul.xml
मू,mū,23562,s0101m.mul.xml
द्द,dda,23489,s0101m.mul.xml
री,rī,23470,s0101m.mul.xml
गु,gu,22742,s0101m.mul.xml
भे,bhe,22660,s0101m.mul.xml
य्या,yyā,22578,s0101m.mul.xml
द्धि,ddhi,22425,s0101m.mul.xml
ञे,ñe,22414,s0101m.mul.xml
