syllable,latin,count,first_file
स्सिं,ssiṃ,484,s0101m.mul.xml
ण्णु,ṇṇu,473,s0102m.mul.xml
य्हा,yhā,463,s0102m.mul.xml
थिं,thiṃ,461,s0101m.mul.xml
ङ,ṅa,458,s0103m.mul.xml
न्वे,nve,456,s0102m.mul.xml
फे,phe,452,s0103m.mul.xml
च्छी,cchī,446,s0201m.mul.xml
म्भु,mbhu,439,s0101m.mul.xml
म्हं,mhaṃ,439,s0101m.mul.xml
ळ्हि,ḷhi,433,s0201m.mul.xml
ट्ठुं,ṭṭhuṃ,431,s0201m.mul.xml
प्फो,ppho,428,s0101m.mul.xml
ल्यं,lyaṃ,428,s0201m.mul.xml
द्य,dya,419,s0503a.att.xml
क्या,kyā,416,s0101m.mul.xml
ळ्हे,ḷhe,416,s0103m.mul.xml
ग्घे,gghe,410,s0101m.mul.xml
ग्घं,gghaṃ,391,s0102m.mul.xml
म्पु,mpu,391,s0202m.mul.xml
ण्डू,ṇḍū,390,s0202m.mul.xml
ण्डी,ṇḍī,386,s0102m.mul.xml
क्ये,kye,384,s0101m.mul.xml
ट्टू,ṭṭū,384,s0202m.mul.xml
ह्मे,hme,376,s0102m.mul.xml
ङ्खो,ṅkho,375,s0102m.mul.xml
त्रे,tre,374,s0101m.mul.xml
ड्डा,ḍḍā,373,s0101m.mul.xml
म्पं,mpaṃ,365,s0101m.mul.xml
म्फु,mphu,359,s0102m.mul.xml
म्मिं,mmiṃ,359,s0102m.mul.xml
न्हि,nhi,358,s0201m.mul.xml
द्दी,ddī,348,s0101m.mul.xml
मुं,muṃ,345,s0101m.mul.xml
ब्बू,bbū,340,s0102m.mul.xml
झ,jha,339,s0103m.mul.xml
न्थं,nthaṃ,334,s0301m.mul.xml
छु,chu,328,s0102m.mul.xml
द्धुं,ddhuṃ,324,s0517m.mul.xml
न्दू,ndū,316,s0101m.mul.xml
डि,ḍi,312,s0203m.mul.xml
ण्हिं,ṇhiṃ,312,s0508m.mul.xml
ग्घि,gghi,302,s0203m.mul.xml
व्हो,vho,301,s0101m.mul.xml
भुं,bhuṃ,294,s0201m.mul.xml
फी,phī,293,s0101m.mul.xml
ण्ठो,ṇṭho,289,s0101m.mul.xml
व्हं,vhaṃ,289,s0101m.mul.xml
न्धू,ndhū,274,s0102m.mul.xml
ण्ठे,ṇṭhe,273,s0101m.mul.xml
बे,be,273,s0101m.mul.xml
य्यि,yyi,271,s0102m.mul.xml
य्हि,yhi,264,s0101m.mul.xml
दुं,duṃ,263,s0103m.mul.xml
न्थि,nthi,261,s0301m.mul.xml
स्सुं,ssuṃ,254,s0101m.mul.xml
ण्णी,ṇṇī,253,s0101m.mul.xml
य्हो,yho,250,s0102m.mul.xml
घि,ghi,247,s0404m2.mul.xml
म्या,myā,246,s0102m.mul.xml
धुं,dhuṃ,241,s0103m.mul.xml
ग्यं,gyaṃ,231,s0101m.mul.xml
ण्वु,ṇvu,231,vin09t.nrf.xml
ञ्ही,ñhī,230,s0101a.att.xml
ख्व,khva,228,s0101m.mul.xml
ळ्हिं,ḷhiṃ,228,s0102m.mul.xml
न्त्या,ntyā,227,s0301m.mul.xml
ण्य,ṇya,225,s0402m3.mul.xml
प्फु,pphu,225,s0101m.mul.xml
डा,ḍā,224,s0101m.mul.xml
ट्टी,ṭṭī,223,s0101m.mul.xml
नुं,nuṃ,223,s0202m.mul.xml
ख्य,khya,222,s0201m.mul.xml
य्हे,yhe,220,s0101m.mul.xml
न्त्य,ntya,216,s0507m.mul.xml
ञ्छा,ñchā,213,s0102m.mul.xml
ड्ढिं,ḍḍhiṃ,212,s0305m.mul.xml
ब्यं,byaṃ,212,s0101m.mul.xml
प्,p,210,s0304m.mul.xml
ण्हु,ṇhu,204,s0103m.mul.xml
त्रु,tru,201,s0101m.mul.xml
ङ्ख्य,ṅkhya,198,s0503m.mul.xml
प्पिं,ppiṃ,198,s0201m.mul.xml
घु,ghu,195,s0301m.mul.xml
द्दू,ddū,194,s0201m.mul.xml
न्त्वे,ntve,185,s0103m.mul.xml
णुं,ṇuṃ,182,s0101m.mul.xml
ञ्झा,ñjhā,180,s0101m.mul.xml
म्बू,mbū,179,s0305m.mul.xml
ञिं,ñiṃ,178,s0101m.mul.xml
च्छुं,cchuṃ,177,s0102m.mul.xml
द्धू,ddhū,177,s0102m.mul.xml
व्हे,vhe,175,s0101m.mul.xml
खुं,khuṃ,172,s0101m.mul.xml
ङ्घु,ṅghu,170,s0301m.mul.xml
ब्यो,byo,167,s0202m.mul.xml
वुं,vuṃ,166,s0305m.mul.xml
न्या,nyā,163,s0506m.mul.xml
न्दुं,nduṃ,159,s0303m.mul.xml
ठी,ṭhī,156,s0507m.mul.xml
ह्मं,hmaṃ,154,s0201m.mul.xml
ग्या,gyā,152,s0101m.mul.xml
ञ्छे,ñche,150,s0103m.mul.xml
ङ्की,ṅkī,148,s0101m.mul.xml
ल्ये,lye,145,s0201m.mul.xml
द्रा,drā,141,s0102m.mul.xml
ग्गू,ggū,137,s0202m.mul.xml
व्हि,vhi,136,s0103m.mul.xml
ट्टु,ṭṭu,134,s0402m3.mul.xml
प्पू,ppū,133,s0513m.mul.xml
ज्झिं,jjhiṃ,131,s0101m.mul.xml
ड्ढु,ḍḍhu,131,s0503m.mul.xml
ट्ठू,ṭṭhū,129,s0509m.mul.xml
स्य,sya,128,s0103m.mul.xml
त्यु,tyu,121,s0105t.nrf.xml
व्या,vyā,121,s0103m.mul.xml
खू,khū,120,s0103m.mul.xml
त्रं,traṃ,116,s0505m.mul.xml
द्रो,dro,116,s0202m.mul.xml
ज्झी,jjhī,115,s0515m.mul.xml
त्ये,tye,115,s0514m.mul.xml
ब्भी,bbhī,110,s0402m2.mul.xml
ब्रु,bru,110,s0202m.mul.xml
ट्टिं,ṭṭiṃ,108,s0201m.mul.xml
ड्डं,ḍḍaṃ,108,s0202m.mul.xml
स्त,sta,108,s0201m.mul.xml
ळू,ḷū,107,s0202m.mul.xml
स्ता,stā,105,s0201m.mul.xml
ञुं,ñuṃ,102,s0502m.mul.xml
ड्ढी,ḍḍhī,102,s0101m.mul.xml
म्पो,mpo,102,vin02m3.mul.xml
ब्बिं,bbiṃ,101,s0101m.mul.xml
ब्भू,bbhū,101,s0102m.mul.xml
क्त,kta,99,e0201n.nrf.xml
टू,ṭū,99,s0102m.mul.xml
डे,ḍe,99,s0101m.mul.xml
ण्टं,ṇṭaṃ,99,s0506m.mul.xml
म्बी,mbī,99,s0102m.mul.xml
ङ्कू,ṅkū,98,s0201m.mul.xml
त्वि,tvi,98,e0201n.nrf.xml
ण्डिं,ṇḍiṃ,96,s0505m.mul.xml
ण्ठं,ṇṭhaṃ,95,s0101m.mul.xml
ण्टा,ṇṭā,91,s0510m1.mul.xml
खिं,khiṃ,90,s0101m.mul.xml
ङ्खी,ṅkhī,88,s0101m.mul.xml
न्त्व,ntva,87,s0511m.mul.xml
न्य,nya,87,s0508m.mul.xml
ह्वा,hvā,87,s0202m.mul.xml
ङ्गिं,ṅgiṃ,86,s0101m.mul.xml
ण्टे,ṇṭe,84,s0201m.mul.xml
स्यं,syaṃ,84,s0404m3.mul.xml
ण्यो,ṇyo,82,e0201n.nrf.xml
द्रे,dre,81,s0101m.mul.xml
ङ्घी,ṅghī,80,s0101m.mul.xml
ण्ध,ṇdha,80,e1202n.nrf.xml
ण्द,ṇda,79,e0607n.nrf.xml
न्ज,nja,79,e0201n.nrf.xml
त्रू,trū,77,s0103m.mul.xml
न्हे,nhe,77,s0513m.mul.xml
ह्य,hya,77,s0301m.mul.xml
ण्टि,ṇṭi,76,s0510m1.mul.xml
ढ,ḍha,75,s0514m.mul.xml
द्दिं,ddiṃ,75,s0201m.mul.xml
ल्तु,ltu,74,e0201n.nrf.xml
त्यं,tyaṃ,73,s0301a.att.xml
ख्वे,khve,72,s0102m.mul.xml
ग्गुं,gguṃ,71,s0201m.mul.xml
लुं,luṃ,71,s0201m.mul.xml
द्यु,dyu,70,e0201n.nrf.xml
ळुं,ḷuṃ,70,s0301m.mul.xml
छो,cho,69,e0201n.nrf.xml
डो,ḍo,69,s0403a.att.xml
ल्यो,lyo,69,s0505m.mul.xml
गिं,giṃ,68,s0101m.mul.xml
स्तो,sto,68,s0102m.mul.xml
क्यो,kyo,66,s0508m.mul.xml
द्रं,draṃ,66,s0102m.mul.xml
ह्व,hva,65,s0508m.mul.xml
द्या,dyā,64,s0514m.mul.xml
म्बिं,mbiṃ,64,s0203m.mul.xml
स्तं,staṃ,64,s0201m.mul.xml
स्मं,smaṃ,64,s0201m.mul.xml
म्हो,mho,63,s0512m.mul.xml
क्रु,kru,62,s0301m.mul.xml
द्रू,drū,62,s0103m.mul.xml
ङि,ṅi,61,e0201n.nrf.xml
बू,bū,61,s0402m3.mul.xml
म्भिं,mbhiṃ,61,s0102m.mul.xml
म्भुं,mbhuṃ,60,s0510m1.mul.xml
ङ्खु,ṅkhu,59,s0510m1.mul.xml
स्वि,svi,59,s0505a.att.xml
फि,phi,58,s0301m.mul.xml
व्य,vya,58,s0402m3.mul.xml
ण्वा,ṇvā,57,s0302m.mul.xml
ख्यं,khyaṃ,54,s0505m.mul.xml
प्या,pyā,54,s0301t.tik.xml
भ्या,bhyā,54,s0513m.mul.xml
क्तो,kto,53,e0201n.nrf.xml
घी,ghī,53,s0513m.mul.xml
म्फं,mphaṃ,53,s0505m.mul.xml
न्वि,nvi,52,s0506m.mul.xml
डु,ḍu,51,s0403m3.mul.xml
ध्य,dhya,51,s0104t.nrf.xml
प्ये,pye,51,vin08t.nrf.xml
ञ्छं,ñchaṃ,50,s0201m.mul.xml
ख्यो,khyo,49,s0103t.tik.xml
ह्मू,hmū,49,s0403m3.mul.xml
प्फू,pphū,48,s0101a.att.xml
म्बुं,mbuṃ,48,s0404m1.mul.xml
कुं,kuṃ,45,s0513m.mul.xml
च्छू,cchū,45,s0202m.mul.xml
ण्टिं,ṇṭiṃ,44,s0102a.att.xml
त्यू,tyū,44,vin06t.nrf.xml
त्यो,tyo,44,s0508m.mul.xml
थ्य,thya,44,vin06t.nrf.xml
ध्वा,dhvā,44,vin02m1.mul.xml
य्हू,yhū,44,s0519m.mul.xml
ण्हू,ṇhū,43,s0102m.mul.xml
न्थु,nthu,43,s0403m1.mul.xml
ख्ये,khye,42,s0501a.att.xml
त्रो,tro,42,vin02m2.mul.xml
स्मे,sme,42,s0301m.mul.xml
ङा,ṅā,41,e0201n.nrf.xml
ञ्झो,ñjho,41,s0101m.mul.xml
ण्ठी,ṇṭhī,41,s0202m.mul.xml
द्म,dma,41,s0506m.mul.xml
स्ना,snā,41,s0102m.mul.xml
ण्यं,ṇyaṃ,40,s0101m.mul.xml
ण्टु,ṇṭu,39,s0510m1.mul.xml
ण्ठिं,ṇṭhiṃ,39,s0304m.mul.xml
ङ्गू,ṅgū,38,s0203m.mul.xml
म्पू,mpū,38,s0101a.att.xml
ग्ये,gye,37,s0305m.mul.xml
झे,jhe,37,s0104t.nrf.xml
ण्दि,ṇdi,37,e1202n.nrf.xml
ञ्झ,ñjha,36,s0101m.mul.xml
ण्या,ṇyā,36,s0514m.mul.xml
ड्डुं,ḍḍuṃ,35,s0305m.mul.xml
ण्णू,ṇṇū,35,s0201m.mul.xml
य्हु,yhu,35,s0513m.mul.xml
ञ्छिं,ñchiṃ,34,s0101m.mul.xml
ण्डुं,ṇḍuṃ,34,s0101m.mul.xml
म्यं,myaṃ,34,s0513m.mul.xml
स्ते,ste,33,s0202m.mul.xml
स्वी,svī,33,e0801n.nrf.xml
ट्य,ṭya,32,s0515m.mul.xml
ण्णिं,ṇṇiṃ,31,s0202m.mul.xml
त्थ्य,tthya,31,vin06t.nrf.xml
थ्या,thyā,31,s0501t.nrf.xml
न्हो,nho,31,s0402m2.mul.xml
ब्यु,byu,31,s0201m.mul.xml
प्यु,pyu,30,vin06t.nrf.xml
य्यू,yyū,29,s0201m.mul.xml
ञ्छुं,ñchuṃ,28,s0102m.mul.xml
क्ति,kti,27,e0201n.nrf.xml
ग्घी,gghī,27,s0301m.mul.xml
न्धुं,ndhuṃ,27,s0505m.mul.xml
ब्भिं,bbhiṃ,27,s0507m.mul.xml
स्यो,syo,27,s0513m.mul.xml
क्णा,kṇā,26,e0201n.nrf.xml
ञ्झं,ñjhaṃ,26,s0304m.mul.xml
झि,jhi,25,s0508m.mul.xml
ञ्छो,ñcho,25,s0509m.mul.xml
ड्डू,ḍḍū,24,s0201m.mul.xml
ड्डो,ḍḍo,24,s0510m2.mul.xml
त्न,tna,24,s0403m1.mul.xml
क्ख्या,kkhyā,23,s0508m.mul.xml
ङी,ṅī,23,e0201n.nrf.xml
झो,jho,23,s0513a4.att.xml
ट्ठ्य,ṭṭhya,23,vin12t.nrf.xml
ड्ढू,ḍḍhū,23,s0502a.att.xml
त्थ्या,tthyā,23,s0505m.mul.xml
ब्ये,bye,23,s0504a.att.xml
क्ना,knā,22,e0201n.nrf.xml
त्वो,tvo,22,e0201n.nrf.xml
घ्य,ghya,21,s0104t.nrf.xml
बं,baṃ,21,s0514m.mul.xml
ळ्हु,ḷhu,21,s0102m.mul.xml
ङं,ṅaṃ,20,e0201n.nrf.xml
ध्या,dhyā,20,s0501t.nrf.xml
प्फिं,pphiṃ,20,s0102a.att.xml
प्यो,pyo,20,abh02a.att.xml
म्फे,mphe,20,vin02m3.mul.xml
ण्दा,ṇdā,19,e1202n.nrf.xml
स्वं,svaṃ,19,e0201n.nrf.xml
झी,jhī,18,e0201n.nrf.xml
ञ्हु,ñhu,18,s0102a.att.xml
त्त्य,ttya,18,e0801n.nrf.xml
प्फी,pphī,18,s0510m1.mul.xml
ण्ठु,ṇṭhu,17,s0402m2.mul.xml
द्ध्य,ddhya,17,e0201n.nrf.xml
द्मं,dmaṃ,17,s0403m1.mul.xml
डी,ḍī,16,s0105t.nrf.xml
ड्डी,ḍḍī,16,s0202m.mul.xml
न्ध्य,ndhya,16,s0501t.nrf.xml
भ्यु,bhyu,16,e0806n.nrf.xml
क्ख्य,kkhya,15,e0808n.nrf.xml
क्णो,kṇo,15,e0201n.nrf.xml
ज्झू,jjhū,15,s0403m3.mul.xml
ज्या,jyā,15,e0201n.nrf.xml
ण्वू,ṇvū,15,e0802n.nrf.xml
त्वी,tvī,15,e0201n.nrf.xml
द्रि,dri,15,s0514m.mul.xml
न्ध्या,ndhyā,15,s0501t.nrf.xml
भ्यो,bhyo,15,s0506m.mul.xml
ङ्ख्यो,ṅkhyo,14,vin12t.nrf.xml
ञ्छी,ñchī,14,s0202a.att.xml
ढा,ḍhā,14,e0201n.nrf.xml
त्त्वा,ttvā,14,e0201n.nrf.xml
म्पिं,mpiṃ,14,s0510m1.mul.xml
म्हु,mhu,14,s0404m3.mul.xml
क्त्वा,ktvā,13,e0801n.nrf.xml
क्प,kpa,13,e0201n.nrf.xml
ङ्ग्य,ṅgya,13,e0801n.nrf.xml
ण्थ,ṇtha,13,e1202n.nrf.xml
ण्द्रि,ṇdri,13,e1202n.nrf.xml
ण्धि,ṇdhi,13,e1202n.nrf.xml
न्हं,nhaṃ,13,s0514m.mul.xml
ब्र्वि,brvi,13,s0105t.nrf.xml
क्ता,ktā,12,e0201n.nrf.xml
ख्वि,khvi,12,s0202m.mul.xml
च्य,cya,12,e0801n.nrf.xml
ण्धा,ṇdhā,12,e1202n.nrf.xml
ण्धो,ṇdho,12,e1202n.nrf.xml
थुं,thuṃ,12,s0506m.mul.xml
द्मा,dmā,12,s0510m1.mul.xml
ध्यो,dhyo,12,s0513m.mul.xml
न्ये,nye,12,e0806n.nrf.xml
स्मु,smu,12,s0202m.mul.xml
ङु,ṅu,11,e0201n.nrf.xml
ट्ठ्या,ṭṭhyā,11,e0105n.nrf.xml
ढो,ḍho,11,e0201n.nrf.xml
द्ये,dye,11,vin11t.nrf.xml
न्त्ये,ntye,11,vin08t.nrf.xml
म्र,mra,11,e0201n.nrf.xml
ह्या,hyā,11,e0801n.nrf.xml
ह्ये,hye,11,e0806n.nrf.xml
ह्वे,hve,11,s0503m.mul.xml
ग्वा,gvā,10,s0202m.mul.xml
ञ्स,ñsa,10,e0806n.nrf.xml
ट्यं,ṭyaṃ,10,s0515a.att.xml
ण्धे,ṇdhe,10,e1202n.nrf.xml
त्त्या,ttyā,10,e0201n.nrf.xml
त्थ्ये,tthye,10,e0801n.nrf.xml
न्द्री,ndrī,10,s0301m.mul.xml
न्यु,nyu,10,s0104t.nrf.xml
भ्यू,bhyū,10,vin09t.nrf.xml
भ्वा,bhvā,10,abh06t.nrf.xml
म्ये,mye,10,e0807n.nrf.xml
स्न,sna,10,s0505m.mul.xml
स्ये,sye,10,s0403m3.mul.xml
ग्घु,gghu,9,s0505m.mul.xml
ग्यो,gyo,9,s0508a2.att.xml
ङ्कुं,ṅkuṃ,9,vin02m1.mul.xml
ङ्खिं,ṅkhiṃ,9,s0102m.mul.xml
ङ्ग्यो,ṅgyo,9,e0807n.nrf.xml
च्या,cyā,9,e0901n.nrf.xml
ट्या,ṭyā,9,e0809n.nrf.xml
ण्टो,ṇṭo,9,s0101a.att.xml
द्ध्या,ddhyā,9,e0806n.nrf.xml
भ्य,bhya,9,vin06t.nrf.xml
म्यु,myu,9,e0201n.nrf.xml
स्नि,sni,9,s0510m2.mul.xml
क्ख्वा,kkhvā,8,e0201n.nrf.xml
क्ते,kte,8,e0801n.nrf.xml
ङ्किं,ṅkiṃ,8,s0202m.mul.xml
ञ्झि,ñjhi,8,s0304a.att.xml
टुं,ṭuṃ,8,s0202a.att.xml
ठु,ṭhu,8,e0809n.nrf.xml
ण्टू,ṇṭū,8,s0101m.mul.xml
ण्दो,ṇdo,8,e1202n.nrf.xml
ण्ये,ṇye,8,e0801n.nrf.xml
ध्व,dhva,8,e0806n.nrf.xml
प्यं,pyaṃ,8,s0519a.att.xml
य्यिं,yyiṃ,8,s0102m.mul.xml
क्र,kra,7,e0401n.nrf.xml
घू,ghū,7,s0510m1.mul.xml
ङ्खू,ṅkhū,7,s0514m.mul.xml
ङ्ख्यु,ṅkhyu,7,vin02t.tik.xml
ञ्छु,ñchu,7,s0512m.mul.xml
ञ्स्स,ñssa,7,e0806n.nrf.xml
द्रु,dru,7,s0301m.mul.xml
न्च,nca,7,vin08t.nrf.xml
न्यं,nyaṃ,7,e0803n.nrf.xml
फं,phaṃ,7,s0103t.tik.xml
य्हिं,yhiṃ,7,s0102m.mul.xml
य्ही,yhī,7,s0402m3.mul.xml
स्वो,svo,7,abh06t.nrf.xml
ह्मि,hmi,7,s0513a4.att.xml
ङ्,ṅ,6,e0201n.nrf.xml
ङ्क्य,ṅkya,6,s0202m.mul.xml
ङ्क्यो,ṅkyo,6,s0508m.mul.xml
ङ्गुं,ṅguṃ,6,vin02m2.mul.xml
ज्गा,jgā,6,e0601n.nrf.xml
डू,ḍū,6,s0202m.mul.xml
ण्धं,ṇdhaṃ,6,e1202n.nrf.xml
थ्यं,thyaṃ,6,e0201n.nrf.xml
द्यं,dyaṃ,6,e0806n.nrf.xml
न्त्यु,ntyu,6,e0810n.nrf.xml
न्त्र,ntra,6,s0513m.mul.xml
न्थिं,nthiṃ,6,s0101a.att.xml
न्यू,nyū,6,s0501t.nrf.xml
बुं,buṃ,6,s0510m2.mul.xml
य्यी,yyī,6,vin02m3.mul.xml
ल्त्वा,ltvā,6,e0806n.nrf.xml
वै,vै,6,s0515m.mul.xml
ह्यं,hyaṃ,6,e0806n.nrf.xml
ऐ,ऐ,5,e0807n.nrf.xml
ङ्घिं,ṅghiṃ,5,s0201m.mul.xml
च्वा,cvā,5,e0702n.nrf.xml
ञ्ञ,ñña,5,s0202a.att.xml
द्दुं,dduṃ,5,e0703n.nrf.xml
द्व्य,dvya,5,e0607n.nrf.xml
न्जा,njā,5,e0201n.nrf.xml
न्स,nsa,5,e0802n.nrf.xml
प्रा,prā,5,e0702n.nrf.xml
भ्यं,bhyaṃ,5,e0201n.nrf.xml
मै,mै,5,e1201n.nrf.xml
म्ञो,mño,5,e1201n.nrf.xml
म्ना,mnā,5,e0601n.nrf.xml
रीं,rīṃ,5,s0201m.mul.xml
ल्त्व,ltva,5,e0806n.nrf.xml
ल्व,lva,5,e0801n.nrf.xml
ल्वा,lvā,5,e0201n.nrf.xml
ळ्हू,ḷhū,5,s0203m.mul.xml
औ,औ,4,e0807n.nrf.xml
कै,kै,4,e1201n.nrf.xml
गीं,gīṃ,4,s0101m.mul.xml
ग्घू,gghū,4,s0510m1.mul.xml
ग्ध,gdha,4,abh02a.att.xml
ङ्ख्यू,ṅkhyū,4,vin01t2.tik.xml
ङ्घ्य,ṅghya,4,e0811n.nrf.xml
ज्वे,jve,4,e0801n.nrf.xml
झं,jhaṃ,4,e0810n.nrf.xml
ञ्च,ñca,4,s0201a.att.xml
ञ्ञा,ññā,4,s0202m.mul.xml
ञ्ञो,ñño,4,e1202n.nrf.xml
ठ्य,ṭhya,4,e0806n.nrf.xml
ण्घ,ṇgha,4,e0806n.nrf.xml
ण्णुं,ṇṇuṃ,4,s0506m.mul.xml
ण्दु,ṇdu,4,e1202n.nrf.xml
ण्दे,ṇde,4,e1202n.nrf.xml
ण्धिं,ṇdhiṃ,4,e1202n.nrf.xml
त्च,tca,4,vin08t.nrf.xml
त्ञ,tña,4,e1201n.nrf.xml
त्ना,tnā,4,vin06t.nrf.xml
द्री,drī,4,s0301m.mul.xml
ध्यु,dhyu,4,e0806n.nrf.xml
ध्ये,dhye,4,e0806n.nrf.xml
न्त्रं,ntraṃ,4,s0514m.mul.xml
न्थी,nthī,4,s0514a2.att.xml
न्द्र,ndra,4,s0202m.mul.xml
प्र,pra,4,vin06t.nrf.xml
फू,phū,4,abh02t.tik.xml
म्फि,mphi,4,vin02m2.mul.xml
म्यो,myo,4,e0601n.nrf.xml
म्रा,mrā,4,e0601n.nrf.xml
य्व,yva,4,e0902n.nrf.xml
य्वे,yve,4,e0601n.nrf.xml
ल्त्वि,ltvi,4,e0801n.nrf.xml
ल्ह,lha,4,e0201n.nrf.xml
व्डि,vḍi,4,e0702n.nrf.xml
सें,seṃ,4,e0702n.nrf.xml
स्मो,smo,4,s0102t.tik.xml
क्गा,kgā,3,e1208n.nrf.xml
क्ण,kṇa,3,e0201n.nrf.xml
क्णे,kṇe,3,e0201n.nrf.xml
क्तु,ktu,3,e0801n.nrf.xml
खों,khoṃ,3,e0702n.nrf.xml
ग्ग्यो,ggyo,3,e0801n.nrf.xml
ग्घिं,gghiṃ,3,s0305m.mul.xml
ग्रि,gri,3,vin06t.nrf.xml
ङे,ṅe,3,e1205n.nrf.xml
ङ्खुं,ṅkhuṃ,3,e0702n.nrf.xml
ङ्घू,ṅghū,3,s0102m.mul.xml
ङ्हो,ṅho,3,e0807n.nrf.xml
ज्व,jva,3,e0801n.nrf.xml
झु,jhu,3,e0809n.nrf.xml
ञ्स्सा,ñssā,3,e0201n.nrf.xml
ठिं,ṭhiṃ,3,s0101m.mul.xml
ढं,ḍhaṃ,3,s0503a.att.xml
ढू,ḍhū,3,s0509m.mul.xml
ण्क,ṇka,3,e0807n.nrf.xml
ण्प,ṇpa,3,e0806n.nrf.xml
ण्भा,ṇbhā,3,e1201n.nrf.xml
ण्सु,ṇsu,3,e0806n.nrf.xml
तै,tै,3,e1202n.nrf.xml
त्थीं,tthīṃ,3,s0103m.mul.xml
त्थ्वे,tthve,3,e0201n.nrf.xml
त्थ्ह,tthha,3,e0806n.nrf.xml
त्द,tda,3,e1215n.nrf.xml
त्नं,tnaṃ,3,e0201n.nrf.xml
त्ने,tne,3,s0510m1.mul.xml
त्य्या,tyyā,3,e1201n.nrf.xml
थ्यो,thyo,3,e0201n.nrf.xml
द्मु,dmu,3,s0506m.mul.xml
ध्यं,dhyaṃ,3,e0806n.nrf.xml
न्जु,nju,3,e0802n.nrf.xml
न्त्वि,ntvi,3,e0806n.nrf.xml
न्द्या,ndyā,3,e0201n.nrf.xml
न्द्वा,ndvā,3,e0806n.nrf.xml
न्सा,nsā,3,e0605n.nrf.xml
ब्ब्भ,bbbha,3,e0902n.nrf.xml
भ्ना,bhnā,3,e0601n.nrf.xml
मां,māṃ,3,s0514m.mul.xml
में,meṃ,3,s0514m.mul.xml
म्ब्वा,mbvā,3,e0801n.nrf.xml
म्सा,msā,3,e0601n.nrf.xml
यां,yāṃ,3,e0702n.nrf.xml
य्मा,ymā,3,e0601n.nrf.xml
य्यूं,yyūṃ,3,s0514a3.att.xml
ल्हो,lho,3,e0805n.nrf.xml
व्व,vva,3,e0903n.nrf.xml
सीं,sīṃ,3,e0703n.nrf.xml
स्त्रा,strā,3,e0201n.nrf.xml
स्मू,smū,3,s0515m.mul.xml
स्यु,syu,3,vin08t.nrf.xml
स्सै,ssै,3,e1201n.nrf.xml
स्सौ,ssौ,3,e1201n.nrf.xml
स्स्व,ssva,3,s0513m.mul.xml
स्स्स,sssa,3,s0513a3.att.xml
हीं,hīṃ,3,vin01m.mul.xml
ह्मी,hmī,3,vin02a1.att.xml
ह्वो,hvo,3,s0508m.mul.xml
ऋ,ऋ,2,s0519m.mul.xml
क्क,kka,2,s0502a.att.xml
क्कि,kki,2,s0101m.mul.xml
क्ग,kga,2,e1208n.nrf.xml
क्गि,kgi,2,e1208n.nrf.xml
क्गी,kgī,2,e1208n.nrf.xml
क्घी,kghī,2,e1208n.nrf.xml
क्त्व,ktva,2,e0801n.nrf.xml
क्पि,kpi,2,e1208n.nrf.xml
क्म,kma,2,e1208n.nrf.xml
क्रे,kre,2,e1005n.nrf.xml
क्रो,kro,2,e0702n.nrf.xml
गै,gै,2,e1201n.nrf.xml
ग्ला,glā,2,e0808n.nrf.xml
ङ्ध,ṅdha,2,e1208n.nrf.xml
चै,cै,2,e1201n.nrf.xml
च्वे,cve,2,e0810n.nrf.xml
छू,chū,2,e0801n.nrf.xml
ज्ज,jja,2,s0505m.mul.xml
ज्वा,jvā,2,e0501n.nrf.xml
ञां,ñāṃ,2,s0517m.mul.xml
ञ्ख्ये,ñkhye,2,e0806n.nrf.xml
ञ्ग्ञा,ñgñā,2,e1203n.nrf.xml
ञ्ज,ñja,2,s0504m.mul.xml
ञ्जि,ñji,2,s0514a3.att.xml
ञ्झुं,ñjhuṃ,2,s0202a.att.xml
ञ्धा,ñdhā,2,e1210n.nrf.xml
ञ्प,ñpa,2,e0806n.nrf.xml
ञ्व,ñva,2,e0702n.nrf.xml
ञ्हिं,ñhiṃ,2,s0516m.mul.xml
ड्ढुं,ḍḍhuṃ,2,s0505a.att.xml
ड्या,ḍyā,2,e0802n.nrf.xml
ढि,ḍhi,2,vin02m3.mul.xml
ण्का,ṇkā,2,e0807n.nrf.xml
ण्ठू,ṇṭhū,2,s0503a.att.xml
ण्न,ṇna,2,e1009n.nrf.xml
ण्भ,ṇbha,2,e1201n.nrf.xml
ण्यू,ṇyū,2,e0401n.nrf.xml
त्जा,tjā,2,e0601n.nrf.xml
त्तीं,ttīṃ,2,e1208n.nrf.xml
त्तै,ttै,2,e1201n.nrf.xml
त्दा,tdā,2,e1201n.nrf.xml
त्ध,tdha,2,e1203n.nrf.xml
त्स,tsa,2,e0806n.nrf.xml
द्मे,dme,2,s0510m1.mul.xml
द्वं,dvaṃ,2,s0102a.att.xml
द्व्ञ,dvña,2,e1201n.nrf.xml
धीं,dhīṃ,2,e0703n.nrf.xml
नै,nै,2,e1201n.nrf.xml
नों,noṃ,2,e0702n.nrf.xml
न्झ,njha,2,e0810n.nrf.xml
न्त्त,ntta,2,e1009n.nrf.xml
न्त्ति,ntti,2,e1009n.nrf.xml
न्त्थ,nttha,2,e1102n.nrf.xml
न्त्यं,ntyaṃ,2,e0810n.nrf.xml
न्त्वो,ntvo,2,e0703n.nrf.xml
न्थ्य,nthya,2,e0810n.nrf.xml
